FormName,FormFreq,Username,"Over the last week, or since you last completed this question, please provide reflections about any misunderstandings you have experienced in the workplace, why you think they occurred, and how you think they were (or could be) successfully resolved? (please remember not to use real names of people you work with)","Over the last week, or since you last completed this question, please provide reflections about any successes you have experienced in the workplace? (please remember not to use real names of people you work with)","Please describe any adjustments (i.e. physcial changes to your workspace, management changes to the processes for completing tasks, or logistical changes to working hours or transport to work)","If you have encountered any stories about autism in the media, could you describe them and its impact on you?",Any other reflections that you would like to share? (please remember not to use real names of people you work with),Date,ID
Autistica - Adjustments,7,44980497,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,It's so frustrating because I feel that I am close to success but it never really happens,Here are some things that have helped Avoiding physical contact if requested (e.g. no handshakes),I watched a film about: low income and employment for autistic people,Not sure what to say,7/10/2019,1552
Autistica - Adjustments,7,38982647,We had an overnight hackathon and there were not enough vegan options,I changed jobs and used this app to transfer my reasonable adjustments ,"Examples of good adjustments include: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I saw a story about a: excellent autistic creativity,I think there should be more research in to employment opportunities,7/10/2019,1553
Autistica - Adjustments,7,80484260,Communication is not happening the way I have requested,I enjoyed my work this week,Some things which I have tried are: Reduced overnight stays,I watched a film about: a mathematic genius,I can’t think of any right now,7/10/2019,1554
Autistica - Adjustments,7,24052776,My manager often criticises me,I had a meeting with my boss to change the lighting and it was changed,"Some things which I have tried are: Maintain consistent job roles, patters and working partners",I read a newspaper article about: bad parenting,Not sure what to say,7/10/2019,1555
Autistica - Adjustments,7,70538701,Not sure what to say,I have successfully managed a team to complete a project,Examples of good adjustments include: Written communication preference over verbal communication,I read a newspaper article about: bad parenting,I think there should be better pathways to requesting adjustments,7/10/2019,1556
Autistica - Adjustments,7,89804580,I had to do training on fire and safety even though I completed three months ago,I changed the way I work and it has led to more prodcutivity,I have tried the following: Flexibility to wear comfortable clothing,My friend told me about another friend who said that:  excellent autistic creativity,I think there has been enough research on younger populations,7/10/2019,1557
Autistica - Adjustments,7,17191527,Sometime people misread my facial expressions,I have felt less depressed,I've not had much success asking for the following: Desk fan,I read a newspaper article about: low income and employment for autistic people,Visualisations are nice,7/10/2019,1558
Autistica - Adjustments,7,12248148,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I use dmy noise cancelling headphones really well,I have requested this: Laptop stand (neck and back support),I saw a story about a: excellent autistic creativity,I'm finding this app sort of helpful,7/10/2019,1559
Autistica - Adjustments,7,14567809,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I was successful in meeting my deadlines,What has really helped is: Minimise meeting attendance,My friend told me about another friend who said that:  bad parenting,Really enjoying this app,7/10/2019,1560
Autistica - Adjustments,7,53779464,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I changed the way I work and it has led to more prodcutivity,I've not had much success asking for the following: A team culture of not eating lunch at desks,My friend told me about another friend who said that:  a mathematic genius,I'm finding this app sort of helpful,7/10/2019,1561
Autistica - Adjustments,7,97777931,Communication is not happening the way I have requested,I worked in the quite room and that was very productive,I would like to have more of: Ensuring all team members understand and respect adjustments in absence of manager,I read a newspaper article about: low income and employment for autistic people,I think there should be more research in to employment opportunities,7/10/2019,1562
Autistica - Adjustments,7,99713717,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I feel really depressed that I have only been told that I have failed,I have tried the following: More time for tasks,I watched a film about: difficulty in switching between tasks,I think there has been enough research on younger populations,7/10/2019,1563
Autistica - Adjustments,7,93466703,Not sure what to say,I enjoyed my work this week,Some things which I have tried are: Set hours for responding to emails,My friend told me about another friend who said that:  excellent autistic creativity,I'm finding this app sort of helpful,7/10/2019,1564
Autistica - Adjustments,7,37419497,I don’t like socialising but it is compulsory to network as part of my job,I haven’t had any success,Examples of good adjustments include: Desk fan,I watched a film about: excellent autistic creativity,I can’t think of any right now,7/10/2019,1565
Autistica - Adjustments,7,35358065,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I have reduced the arguments I have with people,Here are some things that have helped More patience and flexibility from colleagues regarding misunderstandings.,I saw a story about a: superior focus,I would like to upgrade this app,7/10/2019,1566
Autistica - Adjustments,7,86131995,Communication is not happening the way I have requested,I changed jobs and used this app to transfer my reasonable adjustments ,I've not had much success asking for the following: Longer time to familiarise with new routine when there are changes,I read a newspaper article about: low income and employment for autistic people,Really enjoying this app,7/10/2019,1567
Autistica - Adjustments,7,57180656,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I changed jobs and used this app to transfer my reasonable adjustments ,What has really helped is: Reduced overnight stays,My friend told me about another friend who said that:  superior focus,Not sure what to say,7/10/2019,1568
Autistica - Adjustments,7,62929404,Communication is not happening the way I have requested,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Here are some things that have helped Working near familiar and understanding colleagues,My friend told me about another friend who said that:  excellent autistic creativity,I would like to upgrade this app,7/10/2019,1569
Autistica - Adjustments,7,30901982,Every birthday my office buys me cake but I don't eat cake,I have successfully managed a team to complete a project,I have tried the following: Extra breaks to manage cognitive overload and processing speeds,I read a newspaper article about: bad parenting,I think there should be more research in to employment opportunities,7/10/2019,1570
Autistica - Adjustments,7,93085379,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I worked in the quite room and that was very productive,What has really helped is: Visual partitions of workspace (i.e. to minimise distraction and sound),My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,7/10/2019,1571
Autistica - Adjustments,7,77431644,We had an overnight hackathon and there were not enough vegan options,I use dmy noise cancelling headphones really well,Some things which I have tried are: Avoiding physical contact if requested (e.g. no handshakes),I saw a story about a: a cyber hacker,Not sure what to say,7/10/2019,1572
Autistica - Adjustments,7,67013133,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,My typing speed has increased a lot,I've not had much success asking for the following: Working near familiar and understanding colleagues,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,7/10/2019,1573
Autistica - Adjustments,7,13838301,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I have successfully managed a team to complete a project,I have requested this: Allocated desk (i.e. in otherwise hot-desking environment),I watched a film about: a cyber hacker,I would like to upgrade this app,7/10/2019,1574
Autistica - Adjustments,7,66718298,I asked not to be moved to another team but this was rejected,I have successfully managed a team to complete a project,Some things which I have tried are: Frequent feedback,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there has been enough research on younger populations,7/10/2019,1575
Autistica - Adjustments,7,24641611,I asked for deadlines but I was not given them. ,I was successufl in extending my contract,I would like to have more of: Ability to control temperature,My friend told me about another friend who said that:  excellent autistic creativity,I'm finding this app sort of helpful,7/10/2019,1576
Autistica - Adjustments,7,67388864,Every birthday my office buys me cake but I don't eat cake,I was successufl in extending my contract,I have tried the following: More patience and flexibility from colleagues regarding misunderstandings.,I read a newspaper article about: difficulty in switching between tasks,I think there should be more research in to employment opportunities,7/10/2019,1577
Autistica - Adjustments,7,25055544,I'm always asked to shake hands of clients but I don’t like to touch other people,I have reduced the arguments I have with people,What has really helped is: Ability to control temperature,My friend told me about another friend who said that:  a mathematic genius,I can’t think of any right now,7/10/2019,1578
Autistica - Adjustments,7,24503298,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I have reduced the arguments I have with people,Some things which I have tried are: Laptop stand (neck and back support),I read a newspaper article about: bad parenting,I'm finding this app sort of helpful,7/10/2019,1579
Autistica - Adjustments,7,43928283,My manager sucks,I feel really depressed that I have only been told that I have failed,I have requested this: Avoiding open plan office,I read a newspaper article about: bad parenting,I think there should be more research in to employment opportunities,7/10/2019,1580
Autistica - Adjustments,7,19630284,Every birthday my office buys me cake but I don't eat cake,I have more confidence in meetings,I would like to have more of: Colleagues refrain from wearing strong perfumes if asked,I saw a story about a: low income and employment for autistic people,Nope,7/10/2019,1581
Autistica - Adjustments,7,87042105,Not sure what to say,I had a meeting with my boss to change the lighting and it was changed,Here are some things that have helped Ear plugs,I read a newspaper article about: bad parenting,Really enjoying this app,7/10/2019,1582
Autistica - Adjustments,7,71593024,I asked not to be moved to another team but this was rejected,I had a meeting with my boss to change the lighting and it was changed,I've not had much success asking for the following: Noise-cancelling headphones,I watched a film about: a cyber hacker,I can’t think of any right now,7/10/2019,1583
Autistica - Adjustments,7,31866214,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I feel really depressed that I have only been told that I have failed,I have requested this: Flexi-time to avoid commuting in rush hour,I saw a story about a: low income and employment for autistic people,I can’t think of any right now,7/10/2019,1584
Autistica - Adjustments,7,97162166,I asked for deadlines but I was not given them. ,My typing speed has increased a lot,Here are some things that have helped Flexi-time to avoid commuting in rush hour,I saw a story about a: excellent autistic creativity,Visualisations are nice,7/10/2019,1585
Autistica - Adjustments,7,41273901,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I changed the way I work and it has led to more prodcutivity,Examples of good adjustments include: Allocated parking space,I watched a film about: a cyber hacker,I'm finding this app sort of helpful,7/10/2019,1586
Autistica - Adjustments,7,43440948,I don’t like cookies but my team keeps celebrating cookies,Not many successes to report unfortunately ,I have requested this: Work away from fire doors (which slam shut),I watched a film about: a mathematic genius,I would like to upgrade this app,7/10/2019,1587
Autistica - Adjustments,7,77705205,I asked not to be moved to another team but this was rejected,I was able to network well this week which I usually struggle with,Examples of good adjustments include: Ensuring all team members understand and respect adjustments in absence of manager,I read a newspaper article about: bad parenting,Really enjoying this app,7/10/2019,1588
Autistica - Adjustments,7,58358243,I asked not to be moved to another team but this was rejected,I was successful in meeting my deadlines,Examples of good adjustments include: Extra breaks to manage cognitive overload and processing speeds,I saw a story about a: excellent autistic creativity,I think there should be more research in to employment opportunities,7/10/2019,1589
Autistica - Adjustments,7,47815963,My manager often criticises me,I worked in the quite room and that was very productive,What has really helped is: Flexibility to eat lunch separately from colleagues,My friend told me about another friend who said that:  a cyber hacker,I'm finding this app sort of helpful,7/10/2019,1590
Autistica - Adjustments,7,69828639,My manager sucks,I taught my coworkers to use this app,I would like to have more of: Working near familiar and understanding colleagues,My friend told me about another friend who said that:  superior focus,I would like to upgrade this app,7/10/2019,1591
Autistica - Adjustments,7,38868666,"I think there could be better communication, when I get instructions verbally I am overwhelmed",Not many successes to report unfortunately ,I would like to have more of: Minimise meeting attendance,I watched a film about: difficulty in switching between tasks,I'm finding this app sort of helpful,7/10/2019,1592
Autistica - Adjustments,7,72888018,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",I was able to use text instead of speech to interact in the meeting,I have tried the following: Offering the option to refuse taking on more work (since some employees find it very difficult to say no),I read a newspaper article about: difficulty in switching between tasks,Nope,7/10/2019,1593
Autistica - Adjustments,7,43522829,My manager sucks,I feel really depressed that I have only been told that I have failed,I have requested this: Trialling workspace before starting,I watched a film about: difficulty in switching between tasks,Not sure what to say,7/10/2019,1594
Autistica - Adjustments,7,41811454,Every birthday my office buys me cake but I don't eat cake,It's so frustrating because I feel that I am close to success but it never really happens,I have tried the following: Using an internal advocate who can communicate on behalf of the employee,I saw a story about a: difficulty in switching between tasks,I would like to upgrade this app,7/10/2019,1595
Autistica - Adjustments,7,40690745,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I changed the way I work and it has led to more prodcutivity,I have tried the following: Relaxed obligations to social commitments,I read a newspaper article about: excellent autistic creativity,Nope,7/10/2019,1596
Autistica - Adjustments,7,25057429,I was reallocated a new desk even though I liked my old desk,I feel really depressed that I have only been told that I have failed,What has really helped is: Communication devices (e.g. a slider on desk to indicate when working from home).,I saw a story about a: excellent autistic creativity,I would like to upgrade this app,7/10/2019,1597
Autistica - Adjustments,7,39249976,People start working too early in the morning and my request to start later was refused,I was praised by my coworkers but not my manager,Examples of good adjustments include: Ear plugs,I watched a film about: excellent autistic creativity,Really enjoying this app,7/10/2019,1598
Autistica - Adjustments,7,63410382,Every birthday my office buys me cake but I don't eat cake,I haven’t had any success,Here are some things that have helped Remote working option,I watched a film about: low income and employment for autistic people,I think there has been enough research on younger populations,7/10/2019,1599
Autistica - Adjustments,7,61657100,Not sure what to say,I feel really depressed that I have only been told that I have failed,I've not had much success asking for the following: Weekly plan with manager,I saw a story about a: excellent autistic creativity,I think there should be better pathways to requesting adjustments,7/10/2019,1600
Autistica - Adjustments,7,22222222,I asked for deadlines but I was not given them. ,I have felt less depressed,I have tried the following: Specifying clear action points in emails so that recipients understand what is being asked of them,I watched a film about: low income and employment for autistic people,I would like to upgrade this app,7/30/2019,1601
Autistica - Adjustments,7,11111111,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,I have more confidence in meetings,I have requested this: Blue screen filter for computer screen,I saw a story about a: superior focus,I think there should be more research in to employment opportunities,7/30/2019,1602
Autistica - Adjustments,7,12077101,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,It's so frustrating because I feel that I am close to success but it never really happens,I've not had much success asking for the following: Minimising public-facing responsibilities,I saw a story about a: difficulty in switching between tasks,I think there has been enough research on younger populations,7/30/2019,1603
Autistica - Adjustments,7,38961843,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,Here are some things that have helped A team culture of quieter lunchtime conversations,I watched a film about: bad parenting,I think there has been enough research on younger populations,7/30/2019,1604
Autistica - Adjustments,7,67611589,Sometime people misread my facial expressions,It's so frustrating because I feel that I am close to success but it never really happens,I have tried the following: Training staff on neurodiversity and specific needs,My friend told me about another friend who said that:  excellent autistic creativity,Visualisations are nice,7/30/2019,1605
Autistica - Adjustments,7,32500162,I asked for instructions to be written down but they are still provided verbally,Not many successes to report unfortunately ,Here are some things that have helped Using an internal advocate who can communicate on behalf of the employee,I read a newspaper article about: superior focus,Visualisations are nice,7/30/2019,1606
Autistica - Adjustments,7,90705766,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I haven’t had any success,I've not had much success asking for the following: More patience and flexibility from colleagues regarding misunderstandings.,I saw a story about a: low income and employment for autistic people,I can’t think of any right now,7/30/2019,1607
Autistica - Adjustments,7,46465154,My manager sucks,I feel really depressed that I have only been told that I have failed,Examples of good adjustments include: Visual partitions of workspace (i.e. to minimise distraction and sound),I watched a film about: bad parenting,I would like to upgrade this app,7/30/2019,1608
Autistica - Adjustments,7,36480781,"Communciation styles are where there are misunderstnadings. I am an introvert, they are an extrovert",My typing speed has increased a lot,What has really helped is: Allocated desk (i.e. in otherwise hot-desking environment),I saw a story about a: a mathematic genius,I can’t think of any right now,7/30/2019,1609
Autistica - Adjustments,7,86004302,Sometime people misread my facial expressions,I haven’t had any success,What has really helped is: Site blocker software to avoid internet distractions,My friend told me about another friend who said that:  a cyber hacker,Nope,7/30/2019,1610
Autistica - Adjustments,7,74046800,I had to do training on fire and safety even though I completed three months ago,I taught my coworkers to use this app,I've not had much success asking for the following: Blue screen filter for computer screen,I read a newspaper article about: a cyber hacker,I can’t think of any right now,7/30/2019,1611
Autistica - Adjustments,7,67512682,Communication is not happening the way I have requested,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I would like to have more of: Written questions for job interviews and circulated ahead of time,I read a newspaper article about: low income and employment for autistic people,I'm finding this app sort of helpful,7/30/2019,1612
Autistica - Adjustments,7,87436666,I asked for instructions to be written down but they are still provided verbally,I was successufl in extending my contract,Here are some things that have helped Ergonomic chair,My friend told me about another friend who said that:  low income and employment for autistic people,I think there has been enough research on younger populations,7/30/2019,1613
Autistica - Adjustments,7,28755653,I had to do training on fire and safety even though I completed three months ago,I had a meeting with my boss to change the lighting and it was changed,Some things which I have tried are: Colleagues refrain from wearing strong perfumes if asked,I saw a story about a: excellent autistic creativity,Nope,7/30/2019,1614
Autistica - Adjustments,7,66722819,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I have reduced the arguments I have with people,I would like to have more of: Avoiding physical contact if requested (e.g. no handshakes),I watched a film about: low income and employment for autistic people,Really enjoying this app,7/30/2019,1615
Autistica - Adjustments,7,65438804,People start working too early in the morning and my request to start later was refused,I feel really depressed that I have only been told that I have failed,Examples of good adjustments include: Allocated parking space,I read a newspaper article about: superior focus,Really enjoying this app,7/30/2019,1616
Autistica - Adjustments,7,15938146,I asked not to be moved to another team but this was rejected,I ate less gluten which is harder than it sounds,I've not had much success asking for the following: Ability to control temperature,I watched a film about: difficulty in switching between tasks,I would like to upgrade this app,7/30/2019,1617
Autistica - Adjustments,7,37603401,Communication is not happening the way I have requested,I was able to use text instead of speech to interact in the meeting,I have requested this: Ear defenders,My friend told me about another friend who said that:  a cyber hacker,Visualisations are nice,7/30/2019,1618
Autistica - Adjustments,7,23337145,I asked for deadlines but I was not given them. ,I enjoyed my work this week,I would like to have more of: Ear plugs,My friend told me about another friend who said that:  a cyber hacker,I can’t think of any right now,7/30/2019,1619
Autistica - Adjustments,7,99599196,Every birthday my office buys me cake but I don't eat cake,I changed the way I work and it has led to more prodcutivity,I have tried the following: Process for having concerns recorded and taken seriously,My friend told me about another friend who said that:  superior focus,I think there should be more research in to employment opportunities,7/30/2019,1620
Autistica - Adjustments,7,25718877,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I was successful in meeting my deadlines,I've not had much success asking for the following: Weekly plan with manager,My friend told me about another friend who said that:  bad parenting,I can’t think of any right now,7/30/2019,1621
Autistica - Adjustments,7,97909632,People start working too early in the morning and my request to start later was refused,My typing speed has increased a lot,Here are some things that have helped Avoid working in areas with fluorescent strip lighting,My friend told me about another friend who said that:  a mathematic genius,I think there should be more research in to employment opportunities,7/30/2019,1622
Autistica - Adjustments,7,40268226,My manager often criticises me,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I've not had much success asking for the following: Access to senior mentoring,I saw a story about a: a cyber hacker,I would like to upgrade this app,7/30/2019,1623
Autistica - Adjustments,7,63985686,Not sure what to say,I ate less gluten which is harder than it sounds,What has really helped is: Flexibility to wear comfortable clothing,I watched a film about: low income and employment for autistic people,I'm finding this app sort of helpful,7/30/2019,1624
Autistica - Adjustments,7,63237915,People start working too early in the morning and my request to start later was refused,I managed my anxiety before a big presentation better,What has really helped is: Written questions for job interviews and circulated ahead of time,I read a newspaper article about: bad parenting,I would like to upgrade this app,7/30/2019,1625
Autistica - Adjustments,7,50544037,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I enjoyed my work this week,I would like to have more of: Secondary glazing (heat and sound protection),I saw a story about a: a mathematic genius,Visualisations are nice,7/30/2019,1626
Autistica - Adjustments,7,14286843,I don’t like cookies but my team keeps celebrating cookies,I feel really depressed that I have only been told that I have failed,"Some things which I have tried are: Maintain consistent job roles, patters and working partners",My friend told me about another friend who said that:  a cyber hacker,Not sure what to say,7/30/2019,1627
Autistica - Adjustments,7,53175760,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I changed the way I work and it has led to more prodcutivity,Some things which I have tried are: Avoiding unnecessary metaphorical and idiomatic language.,I read a newspaper article about: difficulty in switching between tasks,I'm finding this app sort of helpful,7/30/2019,1628
Autistica - Adjustments,7,56361261,I asked for deadlines but I was not given them. ,I had a meeting with my boss to change the lighting and it was changed,I've not had much success asking for the following: No role-play on training courses,I read a newspaper article about: bad parenting,Nope,7/30/2019,1629
Autistica - Adjustments,7,66411825,My manager sucks,I changed the way I work and it has led to more prodcutivity,What has really helped is: Noise-cancelling headphones,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,7/30/2019,1630
Autistica - Adjustments,7,34060153,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I feel really depressed that I have only been told that I have failed,Some things which I have tried are: Extra breaks to manage cognitive overload and processing speeds,My friend told me about another friend who said that:  low income and employment for autistic people,Not sure what to say,7/30/2019,1631
Autistica - Adjustments,7,11168511,I don’t like socialising but it is compulsory to network as part of my job,It's so frustrating because I feel that I am close to success but it never really happens,Examples of good adjustments include: A team culture of not eating lunch at desks,I saw a story about a: excellent autistic creativity,I think there has been enough research on younger populations,7/30/2019,1632
Autistica - Adjustments,7,85920205,I'm always asked to shake hands of clients but I don’t like to touch other people,I taught my coworkers to use this app,I've not had much success asking for the following: Avoid working in areas with fluorescent strip lighting,My friend told me about another friend who said that:  superior focus,Not sure what to say,7/30/2019,1633
Autistica - Adjustments,7,83766303,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I taught my coworkers to use this app,Some things which I have tried are: Avoiding open plan office,I watched a film about: bad parenting,Really enjoying this app,7/30/2019,1634
Autistica - Adjustments,7,64793738,I don’t like cookies but my team keeps celebrating cookies,I ate less gluten which is harder than it sounds,I have requested this: Ear plugs,My friend told me about another friend who said that:  superior focus,Nope,7/30/2019,1635
Autistica - Adjustments,7,59096037,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I have felt less depressed,I've not had much success asking for the following: Process for having concerns recorded and taken seriously,My friend told me about another friend who said that:  a mathematic genius,I would like to upgrade this app,7/30/2019,1636
Autistica - Adjustments,7,77773077,Really not a fan of the strip lighting being used but everyone keeps turning the lights on after I have turned it off,It's so frustrating because I feel that I am close to success but it never really happens,Here are some things that have helped Communication devices (e.g. a slider on desk to indicate when working from home).,My friend told me about another friend who said that:  a cyber hacker,Not sure what to say,7/30/2019,1637
Autistica - Adjustments,7,47375033,I don’t like socialising but it is compulsory to network as part of my job,I had a meeting with my boss to change the lighting and it was changed,Some things which I have tried are: Minimise meeting attendance,I saw a story about a: a mathematic genius,I can’t think of any right now,7/30/2019,1638
Autistica - Adjustments,7,39847852,I had to do training on fire and safety even though I completed three months ago,I was able to use text instead of speech to interact in the meeting,What has really helped is: Access to senior mentoring,I read a newspaper article about: low income and employment for autistic people,Not sure what to say,7/30/2019,1639
Autistica - Adjustments,7,68971632,I had to do training on fire and safety even though I completed three months ago,I have more confidence in meetings,I've not had much success asking for the following: Extra breaks to manage cognitive overload and processing speeds,I read a newspaper article about: bad parenting,Nope,7/30/2019,1640
Autistica - Adjustments,7,22090963,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I use dmy noise cancelling headphones really well,I have tried the following: Secondary glazing (heat and sound protection),I read a newspaper article about: a mathematic genius,I would like to upgrade this app,7/30/2019,1641
Autistica - Adjustments,7,60377624,I had to do training on fire and safety even though I completed three months ago,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I've not had much success asking for the following: Communication devices (e.g. a slider on desk to indicate when working from home).,My friend told me about another friend who said that:  excellent autistic creativity,I would like to upgrade this app,7/30/2019,1642
Autistica - Adjustments,7,30738880,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I was able to network well this week which I usually struggle with,Here are some things that have helped Avoid working in areas with fluorescent strip lighting,My friend told me about another friend who said that:  difficulty in switching between tasks,I think there should be better pathways to requesting adjustments,7/30/2019,1643
Autistica - Adjustments,7,86589369,I'm always asked to shake hands of clients but I don’t like to touch other people,I have reduced the arguments I have with people,Some things which I have tried are: Minimise away days,I saw a story about a: low income and employment for autistic people,Not sure what to say,7/30/2019,1644
Autistica - Adjustments,7,66155821,We always have misunderstandings in communication but despite trying to adjust for my manager I do not feel they are really adjusting for me. ,I taught my coworkers to use this app,Here are some things that have helped Changing to part time work,I read a newspaper article about: a mathematic genius,I would like to upgrade this app,7/30/2019,1645
Autistica - Adjustments,7,61677296,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I enjoyed my work this week,"I have tried the following: Accurate job descriptions (e.g. not emphasising social presentation skills when not necessary, clarifying likelihood of taking on additional responsibilities)",I read a newspaper article about: superior focus,Visualisations are nice,7/30/2019,1646
Autistica - Adjustments,7,56419454,I've asked my co-workers not to wear so much perfume and it makes me feel queasy but they have refused,I changed the way I work and it has led to more prodcutivity,Here are some things that have helped Online accessible resources about getting up to speed in a new role,I watched a film about: bad parenting,I can’t think of any right now,7/30/2019,1647
Autistica - Adjustments,7,86397034,Not sure what to say,I worked in the quite room and that was very productive,"Here are some things that have helped Maintain consistent job roles, patters and working partners",My friend told me about another friend who said that:  superior focus,I think there should be better pathways to requesting adjustments,7/30/2019,1648
Autistica - Adjustments,7,41455969,I asked for instructions to be written down but they are still provided verbally,I was successful in meeting my deadlines,I have tried the following: Avoiding physical contact if requested (e.g. no handshakes),I watched a film about: a mathematic genius,Really enjoying this app,7/30/2019,1649
Autistica - Adjustments,7,23394144,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I have more confidence in meetings,Here are some things that have helped Software to improve accessibility (e.g. screen reader),I saw a story about a: bad parenting,Not sure what to say,7/30/2019,1650
Autistica - Adjustments,7,21326904,I had to do training on fire and safety even though I completed three months ago,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I would like to have more of: Secondary glazing (heat and sound protection),I watched a film about: bad parenting,Nope,7/30/2019,1651
Autistica - Adjustments,7,44980497,I love my manager's work ethic because they get the best out of me but I don’t like to be made the centre of attention when I am successful,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have requested this: Flexibility to eat lunch separately from colleagues,I watched a film about: low income and employment for autistic people,I would like to upgrade this app,7/30/2019,1652
Autistica - Adjustments,7,38982647,Every birthday my office buys me cake but I don't eat cake,I was successful in factoring in enough time to arrive at meetings without feeling flushed,I would like to have more of: Colleagues refrain from wearing strong perfumes if asked,My friend told me about another friend who said that:  difficulty in switching between tasks,I'm finding this app sort of helpful,7/30/2019,1653
Autistica - Adjustments,7,80484260,My manager often criticises me,I changed the way I work and it has led to more prodcutivity,I've not had much success asking for the following: No role-play on training courses,I read a newspaper article about: low income and employment for autistic people,I think there has been enough research on younger populations,7/30/2019,1654
Autistica - Adjustments,7,24052776,I had to do training on fire and safety even though I completed three months ago,I had a meeting with my boss to change the lighting and it was changed,I have tried the following: Ability to control temperature,I watched a film about: a cyber hacker,I would like to upgrade this app,7/30/2019,1655
Autistica - Adjustments,7,70538701,I'm really sensitive to noise and asked to be seated away from the kitchen but this was refused,I haven’t had any success,Some things which I have tried are: Desk fan,I read a newspaper article about: a cyber hacker,I would like to upgrade this app,7/30/2019,1656
Autistica - Adjustments,7,89804580,I was reallocated a new desk even though I liked my old desk,I have felt less depressed,What has really helped is: Extra time meeting with managers,I read a newspaper article about: excellent autistic creativity,Really enjoying this app,7/30/2019,1657
Autistica - Adjustments,7,17191527,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I worked in the quite room and that was very productive,What has really helped is: Avoiding negative language in the workplace (e.g. autism as a tragedy).,I watched a film about: bad parenting,I think there should be more research in to employment opportunities,7/30/2019,1658
Autistica - Adjustments,7,12248148,I wasn't sure what to wear to a social event but in the end my chicken costume was perfect for the clients,I have been told that I have had a successful week but I really don’t understand why. It would be helpful if people told me about why so that I could replicate it,I have tried the following: Reduced overnight stays,My friend told me about another friend who said that:  superior focus,I think there should be better pathways to requesting adjustments,7/30/2019,1659
Autistica - Adjustments,7,14567809,I was reallocated a new desk even though I liked my old desk,It's so frustrating because I feel that I am close to success but it never really happens,Examples of good adjustments include: Allocated parking space,I saw a story about a: bad parenting,I'm finding this app sort of helpful,7/30/2019,1660
Autistica - Adjustments,7,53779464,"I think there could be better communication, when I get instructions verbally I am overwhelmed",I managed my anxiety before a big presentation better,I've not had much success asking for the following: Extra time meeting with managers,I saw a story about a: low income and employment for autistic people,I'm finding this app sort of helpful,7/30/2019,1661
